,Неправильный вариант,Правильный вариант,simple_html,dist
0,Этапы отбора:1. Подача заявок (до 19 июня);2. Онлайн тестирование на личностные качества (до 22 июня);3. Интервью по компетенциям (до 30 июня).,"<ul>
  <li><b>Этапы отбора:</b></li>
  <li>1. Подача заявок (до 19 июня);</li>
  <li>2. Онлайн тестирование на личностные качества (до 22 июня);</li>
  <li>3. Интервью по компетенциям (до 30 июня).</li>
</ul>","<p><b>Этапы отбора:</b></p>
<ul>
  <li>1. Подача заявок (до 19 июня);</li>
  <li>2. Онлайн тестирование на личностные качества (до 22 июня);</li>
  <li>3. Интервью по компетенциям (до 30 июня).</li>
</ul>",15
1,"По всем вопросам вы можете обращаться по эл. почте mobility@avcrf.ru, в теме письма необходимо указать «Лаборатория экотроп. Байкальск»




","<p>По всем вопросам вы можете обращаться по эл. почте <b>mobility@avcrf.ru</b>, в теме письма необходимо указать <b>«Лаборатория экотроп. Байкальск»</b></p>","<p>По всем вопросам вы можете обращаться по эл. почте <b>mobility@avcrf.ru</b>, в теме письма необходимо указать «Лаборатория экотроп. Байкальск»</p>",7
2,"Некоторые из волонтерских задач:Привлечение заинтересованных лиц и организаций, а также лидеров общественного мнения к поддержке инициатив проекта. Взаимодействие с партнерами проекта, участие в партнерских мероприятиях.Сопровождение деловых, научных, культурно-массовых и просветительских мероприятий.Обеспечение информационной поддержки проекта.Популяризация инициатив проекта.","<p>Некоторые из волонтерских задач:</p>
<ol>
  <li>Привлечение заинтересованных лиц и организаций, а также лидеров общественного мнения к поддержке инициатив проекта.</li>
  <li>Взаимодействие с партнерами проекта, участие в партнерских мероприятиях.</li>
  <li>Сопровождение деловых, научных, культурно-массовых и просветительских мероприятий.</li>
  <li>Обеспечение информационной поддержки проекта.</li>
  <li>Популяризация инициатив проекта.</li>
</ol>","<p><b>Некоторые из волонтерских задач:</b></p>
<ul>
  <li>Привлечение заинтересованных лиц и организаций, а также лидеров общественного мнения к поддержке инициатив проекта.</li>
  <li>Взаимодействие с партнерами проекта, участие в партнерских мероприятиях.</li>
  <li>Сопровождение деловых, научных, культурно-массовых и просветительских мероприятий.</li>
  <li>Обеспечение информационной поддержки проекта.</li>
  <li>Популяризация инициатив проекта.</li>
</ul>",9
3,возраст кандидата не менее 18 лет (на момент подачи заявки);гражданство Российской Федерации;владение английским языком на уровне Intermediate (B1) и выше;,"<p><b>Обязательными требованиями к волонтерам являются:</b></p>
<ul>
  <li>возраст кандидата не менее 18 лет (на момент подачи заявки);</li>
  <li>гражданство Российской Федерации;</li>
  <li>владение английским языком на уровне Intermediate (B1) и выше;</li>
</ul>","<ul>
  <li>возраст кандидата не менее 18 лет (на момент подачи заявки);</li>
  <li>гражданство Российской Федерации;</li>
  <li>владение английским языком на уровне Intermediate (B1) и выше;</li>
</ul>",64
4,"Сроки привлечения волонтеров: с 29 августа по 9 сентября 2022Этапы отбора:Подача заявок (до 17 апреля);Онлайн тестирование на личностные качества и знание английского языка (до 24 апреля);Интервью по компетенциям, включающее устное собеседование на английском языке (до 22 июня);Интервью с Оргкомитетом Форума (до 31 июля).","<p><b>Сроки привлечения волонтеров:</b> с 29 августа по 9 сентября 2022</p>
<p><b>Этапы отбора:</b></p>
<ul>
  <li>Подача заявок (до 17 апреля);</li>
  <li>Онлайн тестирование на личностные качества и знание английского языка (до 24 апреля);</li>
  <li>Интервью по компетенциям, включающее устное собеседование на английском языке (до 22 июня);</li>
  <li>Интервью с Оргкомитетом Форума (до 31 июля).</li>
</ul>","<p><b>Сроки привлечения волонтеров:</b></p>
<ul>
  <li>с 29 августа по 9 сентября 2022. Этапы отбора: Подача заявок (до 17 апреля);</li>
  <li>Онлайн тестирование на личностные качества и знание английского языка (до 24 апреля);</li>
  <li>Интервью по компетенциям, включающее устное собеседование на английском языке (до 22 июня);</li>
  <li>Интервью с Оргкомитетом Форума (до 31 июля).</li>
</ul>",45
5,"По всем вопросам вы можете обращаться по эл. почте mobility@avcrf.ru, в теме письма необходимо указать «ВЭФ22».""","<ul>
  <li></li>
</ul>
<p>По всем вопросам вы можете обращаться по эл. почте <b>mobility@avcrf.ru</b>, в теме письма необходимо указать «<b>ВЭФ22</b>».</p>","<p>По всем вопросам вы можете обращаться по эл. почте <b>mobility@avcrf.ru</b>, в теме письма необходимо указать «ВЭФ 22».""</p>",32
6,"Регистрируйся на портале DOBRO.ru!
До встречи в команде!✌️












""","<p><b>Регистрируйся на портале DOBRO.ru!</b></p>
<p><b>До встречи в команде!✌️</b></p>","<ul>
  <li>Регистрируйся на портале DOBRO.ru!</li>
  <li>До встречи в команде!✌️ ""</li>
</ul>",24
7,"Климатический урок разработан в двух вариантах:
- для учащихся средних классов;
- для старшеклассников, студентов и взрослой аудитории. 
Презентацию и подстрочный текст (в двух вариантах) вы найдете в прикрепленных документах проекта 
Материалы разработаны экспертами Всероссийской общественной организации волонтеров-экологов """"Делай!"""".


""","<p>Климатический урок разработан в двух вариантах:</p>
<p>- для учащихся средних классов;</p>
<p>- для старшеклассников, студентов и взрослой аудитории.</p>
<p>Презентацию и подстрочный текст (в двух вариантах) вы найдете в прикрепленных документах проекта</p>
<p>Материалы разработаны экспертами Всероссийской общественной организации волонтеров-экологов ""Делай!"".</p>","<p><b>Климатический урок разработан в двух вариантах:</b></p>
<ul>
  <li>для учащихся средних классов;-</li>
  <li>для старшеклассников, студентов и взрослой аудитории. Презентацию и подстрочный текст (в двух вариантах) вы найдете в прикрепленных документах проекта Материалы разработаны экспертами Всероссийской общественной организации волонтеров-</li>
  <li>экологов ""Делай!"". ""</li>
</ul>",62
8,"Приглашаем волонтеров:для проведения веселых стартов (помощь со спортивным реквизитом на площадке и проведением активностей)на досуговые зоны (общение с детьми, помощь в проведении легких развивающих игр для детей)Требования к волонтерам:Возраст: 16+Умение и желание общаться с детьмиКаждому волонтеру:отличное настроениеучастие в весёлом праздникефутболка """"Лица района""""блокнотводаблагодарностьверифицированные часы на DOBRO.RU.","<p>
<br>
<b>Приглашаем волонтеров:</b>
</p>
<ul>
  <li>для проведения веселых стартов (помощь со спортивным реквизитом на площадке и проведением активностей)</li>
  <li>на досуговые зоны (общение с детьми, помощь в проведении легких развивающих игр для детей)</li>
</ul>
<p>
<b>Требования к волонтерам:</b>
</p>
<ul>
  <li>Возраст: 16+</li>
  <li>Умение и желание общаться с детьми</li>
</ul>
<p>
<b>Каждому волонтеру:</b>
</p>
<ul>
  <li>отличное настроение</li>
  <li>участие в весёлом празднике</li>
  <li>футболка ""Лица района""</li>
  <li>блокнот</li>
  <li>вода</li>
  <li>благодарность</li>
  <li>верифицированные часы на DOBRO.RU</li>
</ul>","<p><b>Приглашаем волонтеров:</b></p>
<ul>
  <li>для проведения веселых стартов (помощь со спортивным реквизитом на площадке и проведением активностей) на досуговые зоны (общение с детьми, помощь в проведении легких развивающих игр для детей) Требования к волонтерам: Возраст: 16+Умение и желание общаться с детьми.</li>
  <li>Каждому волонтеру: отличное настроение участие в весёлом празднике футболка ""Лица района""блокнот вода благодарность верифицированные часы на DOBRO.</li>
  <li>RU.</li>
</ul>",181
9,"опыт в бумажную личную книжку волонтера (ЛКВ) — будет проставлен сразу по окончании мероприятияПриоритет волонтерам, которые смогут принять участие в фестивалях в следующие даты:18 июня, 10:00-14:00&nbsp;Парк «Горка» Большой Спасоглинищевский пер., 5/4 с825 июня, 15:00-19:00 сквер Девичьего поля  
  
""","<ul>
  <li>опыт в бумажную личную книжку волонтера (ЛКВ) — будет проставлен сразу по окончании мероприятия</li>
</ul>
<p>
<b>Приоритет волонтерам, которые смогут принять участие в фестивалях в следующие даты:</b>
<br>
</p>
<ul>
  <li>18 июня, 10:00-14:00<span>&nbsp;Парк «Горка» Большой Спасоглинищевский пер., 5/4 с8</span></li>
  <li><span>25 июня, 15:00-19:00 сквер Девичьего поля</span></li>
</ul>
<p>
</p>
<p>
</p>","<p><b>опыт в бумажную личную книжку волонтера (ЛКВ) — будет проставлен сразу по окончании мероприятия. Приоритет волонтерам, которые смогут принять участие в фестивалях в следующие даты:</b></p>
<ul>
  <li>18 июня, 10:00-14:00&nbsp;
Парк «Горка» Большой Спасоглинищевский пер.</li>
  <li>, 5/4 с 825 июня, 15:00-19:00 сквер Девичьего поля ""</li>
</ul>",88
